"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RelevantIDFraudScore","Q_RelevantIDLastStartDate","Q3","Q4","Q5","Q6","Q8_1","Q8_2","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q11","Q10_1","Q10_2","Q10_3","Q10_4","Q10_5","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q19_9","Q19_10","Q19_11","Q19_12","Q23_1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q23_10","Q23_11","Q23_12","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q26_1","Q26_2","Q26_3","Q26_4","Q26_5","Q26_6","Q26_7","Q26_8","Q26_9","Q15","Q13_1","Q13_2","Q13_3","Q13_4","Q13_5","Q13_6","Q13_7","opp","gc","term","Q_BallotBoxStuffing","Q_TotalDuration","expected_loi","expected_ir","expected_n","geo_IP","Q_CHL","rid","RISN","LS","transaction_id","SVID","PS","psid","K2","med","X_k","entrySigCheck","DisplayOrder","V","tg","orderNumber"
"23","23-01-25 5:11","23-01-25 5:17","IP address","100","343","True","23-01-25 5:17","R_8hlmRAqChB1FhiH","anonymous","EN","1",NA,"0","0",NA,"55+","Male","Western Finland","Matriculation examination",9,"8","9","7","9","8","8","9","9","Some interest","Somewhat agree","Neither agree nor disagree","Totally agree","Somewhat agree","Totally agree","Some improvement","Staying the same","Staying the same","Some improvement","Staying the same","Staying the same","Staying the same","Some improvement","Somewhat worse","Staying the same","Some improvement","Some improvement","7","5","5","7","5","5","6","7","5","5","7","7","4","7","8","9","4","4","7","8","7","4","7","8","9","4","4","8","8","7","Centre Party of Finland (KESK)","Totally disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Qual73530196-3004-Finland","1",NA,NA,"343","10","0.6","1500","EN","anonymous",NA,NA,NA,"4s83GyHAKgiCmN5nuusPtu","37679796","341","919fc802-c670-e59f-c3df-f387f4bc044d",NA,NA,NA,"on","Q25","D_API",NA,"XXX"
"24","23-01-25 6:36","23-01-25 6:43","IP address","100","423","True","23-01-25 6:43","R_8QgIah9TURWt1Rv","anonymous","EN","1",NA,"0","0",NA,"45-54","Male","Western Finland","Upper secondary school or polytechnic degree",2,"3","I don't trust at all 0","2","3","3","3","1","3","Some interest","Somewhat disagree","Somewhat agree","Totally agree","Totally disagree","Somewhat agree","Much worse","Much worse","Much worse","Staying the same","Staying the same","Staying the same","Much worse","Somewhat worse","Much worse","Somewhat worse","Some improvement","Some improvement","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","5","4","3","This development is entirely due to government policy 10","7","8","4","3","3","6","Not at all close to 0","2","3","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","6","I do not like at all 0","2","3","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","Social Democratic Party of Finland (SDP)","Totally disagree","Totally agree","Totally disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Qual73530196-3004-Finland","1",NA,NA,"423","10","0.6","1500","EN","anonymous",NA,NA,NA,"5EWsDLUtj9SPX8S1PPFGn6","37679796","341","eaafb0e0-67ec-1bd5-c1ae-1972f228fa15",NA,NA,NA,"on","Q25","D_API",NA,"XXX"
"25","23-01-25 17:07","23-01-25 17:12","IP address","100","294","True","23-01-25 17:12","R_2GQQwGtj3kFs5W1","anonymous","EN","0,899999976",NA,"0","5",NA,"25-34","Male","Helsinki and Uusimaa","Upper secondary school or polytechnic degree",7,"8","6","7","8","7","9","7","8","Some interest","Totally agree","Totally disagree","Totally agree","Totally agree","Totally agree","Much worse","Much worse","Much worse","Somewhat worse","Much worse","Much worse","Much worse","Some improvement","Somewhat worse","Staying the same","Some improvement","Some improvement","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","7","7","8","This development is entirely due to government policy 10","8","9","9","This development is entirely due to government policy 10","This development is entirely due to government policy 10","8","Not at all close to 0","4","6","5","9","5","2","1","I like very much 10","I do not like at all 0","1","3","4","8","4","I do not like at all 0","I do not like at all 0","Left Alliance (VAS)","Totally disagree","Somewhat agree","Somewhat disagree","Totally agree","Somewhat agree","Totally agree","Totally disagree","Qual73530196-3004-Finland","1",NA,NA,"294","10","0.6","1500","EN","anonymous",NA,NA,NA,"1U2rDcxJPU9boCFIlZG9XF","37679796","341","3f7050b5-498d-e0ff-f581-e699b0c029ce",NA,NA,NA,"on","Q25","D_API",NA,"XXX"
"26","23-01-25 17:07","23-01-25 17:12","IP address","100","299","True","23-01-25 17:12","R_22PTc1ZIZSLB4Ne","anonymous","EN","1",NA,"0","5",NA,"35-44","Female","Southern Finland","Professional qualification",2,"3","I don't trust at all 0","2","I don't trust at all 0","I don't trust at all 0","2","1","3","Only a little interested","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Much worse","Much worse","Somewhat worse","Much worse","Much worse","Staying the same","Much worse","Much worse","Much worse","Much worse","Much worse","Staying the same","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","8","This development is entirely due to government policy 10","6","8","8","6","7","5","This development is entirely due to government policy 10","3","4","3","3","2","2","3","2","2","I do not like at all 0","2","I do not like at all 0","I do not like at all 0","I do not like at all 0","2","I do not like at all 0","I do not like at all 0","I do not like at all 0","I did not vote","Totally disagree","Somewhat agree","Somewhat agree","Somewhat agree","Totally disagree","Totally agree","Neither agree nor disagree","Qual73530196-3004-Finland","1",NA,NA,"299","10","0.6","1500","EN","anonymous",NA,NA,NA,"2CHHvTeeLkoyort93vN86n","37679796","341","929b1cb3-4924-470f-17bc-3783de92582b",NA,NA,NA,"on",NA,"D_API",NA,"XXX"
"27","23-01-25 17:06","23-01-25 17:14","IP address","100","471","True","23-01-25 17:14","R_216ZTlXsxJ24PTY","anonymous","EN","1",NA,"0","5",NA,"45-54","Female","Southern Finland","Upper secondary school or polytechnic degree",9,"9","7","8","7","7","8","9","I have full confidence in 10","Very interested","Totally agree","Neither agree nor disagree","Totally agree","Totally agree","Totally agree","Staying the same","Somewhat worse","Somewhat worse","Much worse","Staying the same","Some improvement","Somewhat worse","Somewhat worse","Somewhat worse","Staying the same","Staying the same","Somewhat worse","8","8","7","5","4","7","8","9","8","8","8","8","6","5","4","3","5","5","4","4","4","3","3","3","2","3","4","4","4","5","Movement Now","Somewhat disagree","Somewhat agree","Totally agree","Totally agree","Totally agree","Somewhat agree","Somewhat agree","Qual73530196-3004-Finland","1",NA,NA,"471","10","0.6","1500","EN","anonymous",NA,NA,NA,"1uERIVYPndtNWNsicfkGVJ","37679796","341","660afd90-6d46-be79-84a6-517a5a7c5e6e",NA,NA,NA,"on","Q25","D_API",NA,"XXX"
"28","23-01-25 17:10","23-01-25 17:16","IP address","100","374","True","23-01-25 17:16","R_8iey7kFTnL4l9Mc","anonymous","EN","1",NA,"0","5",NA,"25-34","Male","Southern Finland","Professional qualification",3,"5","3","4","2","2","7","6","8","Very interested","Somewhat agree","Somewhat agree","Somewhat agree","Totally agree","Totally agree","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","8","Not at all close to 0","Not at all close to 0","6","7","Very close to 10","Not at all close to 0","Not at all close to 0","3","8","I do not like at all 0","1","4","6","I like very much 10","1","I do not like at all 0","2","Left Alliance (VAS)","Totally disagree","Totally agree","Neither agree nor disagree","Somewhat agree","Totally disagree","Somewhat agree","Somewhat disagree","Qual73530196-3004-Finland","1",NA,NA,"374","10","0.6","1500","EN","anonymous",NA,NA,NA,"2SIk0EhFfmSsJrYoTCdGIu","37679796","341","def1d4fa-e0fc-ceae-0313-d5bdf7df38e7",NA,NA,NA,"on","Q25","D_API",NA,"XXX"
"29","23-01-25 17:06","23-01-25 17:22","IP address","100","1000","True","23-01-25 17:23","R_2EgpnBKrZrjKjcx","anonymous","EN","1",NA,"0","5",NA,"25-34","Male","Helsinki and Uusimaa","University degree",7,"6","8","7","8","8","8","7","8","Very interested","Somewhat agree","Neither agree nor disagree","Somewhat agree","Totally agree","Somewhat agree","Much worse","Somewhat worse","Somewhat worse","Somewhat worse","Much worse","Somewhat worse","Somewhat worse","Somewhat worse","Much worse","Somewhat worse","Somewhat worse","Somewhat worse","7","7","8","7","8","7","8","9","9","8","9","9","8","7","8","8","7","9","8","9","8","8","7","8","9","8","9","9","8","9","True Finns (PS)","Totally agree","Somewhat agree","Totally agree","Somewhat agree","Somewhat agree","Totally agree","Somewhat agree","Qual73530196-3004-Finland","1",NA,NA,"1000","10","0.6","1500","EN","anonymous",NA,NA,NA,"5jjAM5ikG9c2Xkyp7v9vtJ","37679796","341","e5942aaf-1a04-6833-1288-0127d1bced68",NA,NA,NA,"on","Q17","D_API",NA,"XXX"
"30","24-01-25 8:00","24-01-25 8:04","IP address","100","260","True","24-01-25 8:04","R_8wBIJHPeRowdrW4","anonymous","EN","1",NA,"0","0",NA,"35-44","Female","Northern and Eastern Finland","Upper secondary school or polytechnic degree",7,"5","I don't trust at all 0","I don't trust at all 0","I don't trust at all 0","I don't trust at all 0","1","4","1","Very interested","Totally agree","Somewhat agree","Totally agree","Totally agree","Somewhat agree","Much worse","Much worse","Somewhat worse","Staying the same","Some improvement","Somewhat worse","Much worse","Much worse","Much worse","Somewhat worse","Staying the same","Somewhat worse","7","7","7","7","7","9","9","8","9","6","8","9","4","Not at all close to 0","Not at all close to 0","1","2","8","Not at all close to 0","3","3","2","I do not like at all 0","I do not like at all 0","1","2","7","I do not like at all 0","2","1","Left Alliance (VAS)","Totally disagree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Somewhat disagree","Qual73530196-3004-Finland","1",NA,NA,"260","10","0.6","1500","EN","anonymous",NA,NA,NA,"5cZtb94Sv0EfDeZUo1kBIS","37679796","341","7db8582c-1726-d63a-638f-6ce15734747d",NA,NA,NA,"on","Q25","D_API",NA,"XXX"
"31","24-01-25 8:00","24-01-25 8:06","IP address","100","311","True","24-01-25 8:06","R_8OTKuBzoVwyXnz7","anonymous","EN","1",NA,"0","0",NA,"55+","Male","Western Finland","Primary school (grades 1-9)",1,"2","3","3","I don't trust at all 0","1","2","7","5","Very interested","Totally agree","Totally disagree","Totally agree","Somewhat agree","Totally agree","Somewhat worse","Much worse","Much worse","Staying the same","Staying the same","Somewhat worse","Much worse","Much worse","Much worse","Somewhat worse","Staying the same","Somewhat worse","9","This development is entirely due to government policy 10","This development is entirely due to government policy 10","5","5","4","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","3","3","5","1","Not at all close to 0","3","Not at all close to 0","6","Not at all close to 0","Not at all close to 0","Not at all close to 0","5","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","5","I do not like at all 0","I do not like at all 0","I do not like at all 0","True Finns (PS)","Totally disagree","Somewhat agree","Totally disagree","Totally agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Qual73530196-3004-Finland","1",NA,NA,"311","10","0.6","1500","EN","anonymous",NA,NA,NA,"4UifCc9rsVI2WHK0BXbIfZ","37679796","341","cb99e2cb-96ea-c97a-0b68-6c8ca6cdd58a",NA,NA,NA,"on","Q17","D_API",NA,"XXX"
"32","24-01-25 8:00","24-01-25 8:07","IP address","100","428","True","24-01-25 8:07","R_2AM2eA9gQNBr5cZ","anonymous","EN","0,899999976",NA,"0","0",NA,"55+","Female","Northern and Eastern Finland","Professional qualification",8,"8","3","3","4","3","6","8","8","Some interest","Totally agree","Totally disagree","Totally agree","Somewhat agree","Totally agree","Much worse","Much worse","Somewhat worse","Much worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Much worse","Staying the same","Staying the same","Staying the same","7","7","7","8","8","5","9","6","8","3","6","4","7","Not at all close to 0","1","3","5","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","7","I do not like at all 0","2","3","5","I do not like at all 0","2","I do not like at all 0","I do not like at all 0","Social Democratic Party of Finland (SDP)","Totally disagree","Somewhat agree","Totally agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Qual73530196-3004-Finland","1",NA,NA,"428","10","0.6","1500","EN","anonymous",NA,NA,NA,"1xcRohXn2j79pAPUND5Y37","37679796","341","97ed7d62-dbee-f631-be73-4490ef71b0cd",NA,NA,NA,"on","Q25","D_API",NA,"XXX"
"33","24-01-25 8:04","24-01-25 8:07","IP address","100","197","True","24-01-25 8:07","R_88RcJtgy2u0wBOx","anonymous","EN","1",NA,"0","0",NA,"35-44","Male","Helsinki and Uusimaa","University degree",8,"9","9","8","I have full confidence in 10","8","5","8","I have full confidence in 10","Very interested","Totally agree","Neither agree nor disagree","Somewhat agree","Totally agree","Somewhat agree","Some improvement","Much better","Staying the same","Some improvement","Somewhat worse","Much worse","Staying the same","Some improvement","Much better","Some improvement","Staying the same","Some improvement","4","7","6","9","This development is entirely due to government policy 10","7","This development is entirely due to government policy 10","8","6","7","9","This development is entirely due to government policy 10","9","8","8","Very close to 10","7","5","6","9","Very close to 10","I do not like at all 0","8","I like very much 10","4","8","9","7","3","8","True Finns (PS)","Somewhat agree","I don't know","Totally agree","Somewhat agree","Totally agree","Neither agree nor disagree","Somewhat agree","Qual73530196-3004-Finland","1",NA,NA,"197","10","0.6","1500","EN","anonymous",NA,NA,NA,"4xmg6Q2IR54scHPdIl7waU","37679796","341","adf9fb9e-07b8-f8fd-b2d6-fbe2a4b66689",NA,NA,NA,"on","Q17","D_API",NA,"XXX"
"34","24-01-25 8:02","24-01-25 8:07","IP address","100","297","True","24-01-25 8:07","R_89aeBMSbBPWUS4b","anonymous","EN","0,800000012",NA,"0","0",NA,"45-54","Female","Western Finland","Professional qualification",7,"7","4","4","1","2","3","4","6","Some interest","Somewhat agree","Somewhat disagree","Totally agree","Totally agree","Totally agree","Much worse","Much worse","Much worse","Staying the same","Staying the same","Staying the same","Much worse","Much worse","Much worse","Staying the same","Staying the same","Somewhat worse","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","8","7","7","9","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","9","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","I like very much 10","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","1","Social Democratic Party of Finland (SDP)","Totally disagree","Neither agree nor disagree","Neither agree nor disagree","Totally agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Qual73530196-3004-Finland","1",NA,NA,"297","10","0.6","1500","EN","anonymous",NA,NA,NA,"45knU99y60p2loJif1hbH5","37679796","341","8aac172b-eadd-07f3-02b6-0af4ac5faab6",NA,NA,NA,"on","Q25","D_API",NA,"XXX"
"35","24-01-25 8:04","24-01-25 8:09","IP address","100","348","True","24-01-25 8:09","R_29bipki4ygVV1z2","anonymous","EN","0,800000012",NA,"0","0",NA,"35-44","Female","Western Finland","Professional qualification",5,"5","1","1","1","1","1","1","1","Only a little interested","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Much worse","Much worse","Much worse","Much worse","Staying the same","Much worse","This development is entirely due to other reasons 0","This development is entirely due to other reasons 0","This development is entirely due to other reasons 0","This development is entirely due to other reasons 0","This development is entirely due to other reasons 0","This development is entirely due to other reasons 0","This development is entirely due to other reasons 0","This development is entirely due to other reasons 0","This development is entirely due to other reasons 0","This development is entirely due to other reasons 0","This development is entirely due to other reasons 0","This development is entirely due to other reasons 0","Not at all close to 0","6","2","7","6","2","Not at all close to 0","Not at all close to 0","Not at all close to 0","2","5","2","5","6","3","I do not like at all 0","I do not like at all 0","I do not like at all 0","True Finns (PS)","Totally disagree","Somewhat agree","Somewhat disagree","Totally agree","Somewhat disagree","Somewhat agree","Somewhat agree","Qual73530196-3004-Finland","1",NA,NA,"348","10","0.6","1500","EN","anonymous",NA,NA,NA,"4KrFnR7THPZ9rlFDogH8xM","37679796","341","e3361a95-11d1-df4b-33a1-a6415629267f",NA,NA,NA,"on","Q17","D_API",NA,"XXX"
"36","24-01-25 8:08","24-01-25 8:11","IP address","100","148","True","24-01-25 8:11","R_897qTakZqCr8LFT","anonymous","EN","0,899999976",NA,"0","10",NA,"45-54","Male","Helsinki and Uusimaa","Matriculation examination",8,"8","4","3","1","8","9","8","6","Very interested","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Totally agree","Somewhat agree","Staying the same","Somewhat worse","Somewhat worse","I don't know","I don't know","Much worse","Some improvement","Staying the same","Some improvement","Somewhat worse","Some improvement","Staying the same","3","3","8","1","2","6","9","2","2","8","3","8","4","5","4","3","8","9","7","6","4","2","2","1","7","7","7","9","2","2","Green Alliance (VIHR)","Somewhat agree","Somewhat disagree","Totally disagree","Totally agree","Totally agree","Somewhat agree","Somewhat agree","Qual73530196-3004-Finland","1",NA,NA,"148","10","0.6","1500","EN","anonymous",NA,NA,NA,"0ioeaED3hN3OrBLfZQLnAR","37679796","341","eb6254eb-e35e-14da-606a-10f1881c4360",NA,NA,NA,"on","Q25","D_API",NA,"XXX"
"37","24-01-25 8:06","24-01-25 8:12","IP address","100","314","True","24-01-25 8:12","R_2whsFZDOCh1RHgh","anonymous","EN","1",NA,"0","0",NA,"45-54","Male","Helsinki and Uusimaa","Professional qualification",5,"4","I don't trust at all 0","I don't trust at all 0","I don't trust at all 0","I don't trust at all 0","1","8","8","Some interest","Neither agree nor disagree","Somewhat agree","Totally agree","Totally agree","Totally agree","Much worse","Much worse","Somewhat worse","I don't know","I don't know","Staying the same","Much worse","Somewhat worse","Much worse","Much worse","Staying the same","Staying the same","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","I don't know","I don't know","I don't know","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","4","4","Very close to 10","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","1","1","2","Very close to 10","I like very much 10","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","1","1","2","I like very much 10","True Finns (PS)","Totally disagree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Neither agree nor disagree","Qual73530196-3004-Finland","1",NA,NA,"314","10","0.6","1500","EN","anonymous",NA,NA,NA,"2NgIYGbuEYJJbcWUsexarR","37679796","341","4ebe2217-66ce-cd73-4f06-fba734035f99",NA,NA,NA,"on","Q17","D_API",NA,"XXX"
"38","24-01-25 8:07","24-01-25 8:12","IP address","100","309","True","24-01-25 8:12","R_8oOYpkHOrDmVQ5j","anonymous","EN","1",NA,"0","0",NA,"55+","Female","Western Finland","Matriculation examination",9,"7","7","7","6","6","7","9","9","Some interest","Totally agree","Totally disagree","Totally agree","Somewhat agree","Totally agree","Much worse","Much worse","Somewhat worse","Staying the same","Staying the same","Somewhat worse","Somewhat worse","Some improvement","Much worse","Somewhat worse","Some improvement","Staying the same","7","7","6","5","5","6","7","8","8","6","6","6","8","Not at all close to 0","3","8","4","1","8","4","Not at all close to 0","7","I do not like at all 0","3","6","6","1","7","3","I do not like at all 0","Swedish People's Party of Finland (RKP)","Totally disagree","Somewhat disagree","Totally disagree","Totally agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Qual73530196-3004-Finland","1",NA,NA,"309","10","0.6","1500","EN","anonymous",NA,NA,NA,"6ROgJfpr1NbX51cwFG3gfh","37679796","341","a6cdf4d6-8242-19d7-1789-3bd766f02fc4",NA,NA,NA,"on","Q17","D_API",NA,"XXX"
"39","24-01-25 8:07","24-01-25 8:13","IP address","100","314","True","24-01-25 8:13","R_2gRpVrjgqMAU6Zb","anonymous","EN","1",NA,"0","0",NA,"25-34","Male","Helsinki and Uusimaa","Primary school (grades 1-9)",10,"9","4","4","5","5","7","7","I have full confidence in 10","Only a little interested","Somewhat agree","Somewhat disagree","Totally agree","Somewhat agree","Somewhat agree","Staying the same","Somewhat worse","Staying the same","Staying the same","Staying the same","Staying the same","Some improvement","Staying the same","Somewhat worse","Some improvement","Much better","Some improvement","8","5","7","4","3","5","8","7","4","8","This development is entirely due to government policy 10","8","3","Very close to 10","2","2","Not at all close to 0","2","Not at all close to 0","Not at all close to 0","Not at all close to 0","4","I like very much 10","3","2","I do not like at all 0","3","I do not like at all 0","I do not like at all 0","I do not like at all 0","True Finns (PS)","Totally disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Qual73530196-3004-Finland","1",NA,NA,"314","10","0.6","1500","EN","anonymous",NA,NA,NA,"6Ncv1qbOu7FY5IobvjDmuE","37679796","341","0e360672-1a1c-1e5e-360e-336b2ea57727",NA,NA,NA,"on","Q17","D_API",NA,"XXX"
